S. No.,AISHE Code,Institute Name,State Name,Management Type
101,C-6430,University College of Medical Sciences (NIRF Code (I-1409)),Delhi,Central Government
102,U-0120,University of Delhi,Delhi,Central Government
103,C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,Delhi,Central Government
104,C-6383,Zakir Husain Delhi College,Delhi,Central Government
105,C-68553,ALL INDIA INSTITUTE OF AYURVEDA,Goa,Central Government
106,U-0907,"Indian Institute of Technology, Goa",Goa,Central Government
107,C-70730,NATIONAL FORENSIC SCIENCES UNIVERSITY GOA CAMPUS,Goa,Central Government
108,C-30849,National Institute of Hydrography,Goa,Central Government
109,U-0620,National Institute of Technology Goa,Goa,Central Government
110,U-1191,ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Gujarat,Central Government
111,C-323,"CENTRAL INSTITUE OF PLASTICS ENGG. & TECH., VATVA, AHMEDABAD 052 ",Gujarat,Central Government
112,C-50548,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,Gujarat,Central Government
113,U-0126,"Central Univeristy of Gujarat, Gandhinagar",Gujarat,Central Government
114,C-58647,Footwear Design and Development Institute - Bharuch,Gujarat,Central Government
115,U-0968,Gati Shakti Vishwavidyalaya,Gujarat,Central Government
116,U-0954,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT,Gujarat,Central Government
117,U-0798,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA",Gujarat,Central Government
118,U-1016,Indian Institute of Management Ahmedabad,Gujarat,Central Government
119,U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Central Government
120,C-39259,"Institute for Plasma Research (IPR),Gandhinagar",Gujarat,Central Government
121,S-18192,INSTITUTE OF HOTEL MANAGEMENT CATERING AND NUTRITION AHMEDABAD,Gujarat,Central Government
122,U-1274,INSTITUTE OF TEACHING AND RESEARCH IN AYURVEDA,Gujarat,Central Government
123,U-0593,NATIONAL FORENSIC SCIENCES UNIVERSITY,Gujarat,Central Government
124,U-1028,NATIONAL INSTITUTE OF DESIGN,Gujarat,Central Government
