Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0884,"ST. JOSEPH UNIVERSITY, DIMAPUR",Nagaland,Dimapur,www.stjosephuniv.edu.in,2016,Rural
U-0911,"ST. XAVIER'S UNIVERSITY, KOLKATA",West Bengal,North 24 Parganas,www.sxuk.edu.in,2017,Urban
U-0791,SUN RISE UNIVERSITY,Rajasthan,Alwar,www.sunriseuniversity.in,-,Rural
U-1207,SURAJMAL UNIVERSITY,Uttarakhand,Udham Singh Nagar,SMU.ac.in,-,Rural
U-1120,SURENDRANAGAR UNIVERSITY,Gujarat,Surendranagar,www.suni.ac.in,2020,Rural
U-0427,"Suresh Gyan Vihar Univeristy, Jaipur",Rajasthan,Jaipur,www.gyanvihar.org,2000,Urban
U-0667,Sushant University,Haryana,Gurugram,www.sushantuniversity.edu.in,2012,Urban
U-1400,SVKM NMIMS Global University,Maharashtra,Dhule,https://www.svkmnmimsgu.ac.in/,-,Urban
U-1211,SWAMINARAYAN UNIVERSITY,Gujarat,Gandhinagar,www.swaminarayanuniversity.ac.in,-,Rural
U-0737,SWAMI RAMA HIMALAYAN UNIVERSITY,Uttarakhand,Dehradun,www.srhu.edu.in,2013,Rural
U-1086,SWAMI VIVEKANANDA UNIVERSITY,West Bengal,North 24 Parganas,www.swamivivekanandauniversity.ac.in,2019,Rural
U-0543,"Swami Vivekanand Subharti University, Meerut",Uttar Pradesh,Meerut,www.subharti.org,1996,Urban
U-1430,Swami Vivekanand University,Assam,Kokrajhar,https://swamivivekananduniversity.edu.in,-,Rural
U-0661,SWAMI VIVEKANAND UNIVERSITY,Madhya Pradesh,Sagar,www.svnuniversity.co.in,2011,Rural
U-0893,Swarrnim Startup & Innovation University,Gujarat,Gandhinagar,www.swarrnim.edu.in,2009,Rural
U-0979,SYMBIOSIS SKILLS AND PROFESSIONAL UNIVERSITY,Maharashtra,Pune,www.sspu.ac.in,2017,Urban
U-0921,"Symbiosis University of Applied Sciences, Indore",Madhya Pradesh,Indore,www.suas.ac.in,2016,Urban
U-1392,Takshashila University,Tamil Nadu,Viluppuram,www.takshashilauniv.ac.in,-,Rural
U-0709,"TANTIA UNIVERSITY, SRI GANGANAGAR",Rajasthan,Ganganagar,www.tantiauniversity.com,2013,Rural
U-0781,TEAM LEASE SKILLS UNIVERSITY,Gujarat,Vadodara,www.teamleaseuniversity.ac.in,2013,Urban
U-0729,"TECHNO GLOBAL UNIVERSITY, SIRONG",Madhya Pradesh,Vidisha,www.technoglobaluniversitysironjmp.com,2012,Rural
U-1302,TECHNO INDIA UNIVERSITY TRIPURA,Tripura,West Tripura,www.tiut.ac.in,-,Rural
U-0865,"TECHNO INDIA UNIVERSITY, WEST BENGAL",West Bengal,Kolkata,www.technoindiauniversity.ac.in,2012,Urban
U-0544,"Teerthanker Mahaveer University, Moradabad",Uttar Pradesh,Moradabad,www.tmu.ac.in,2008,Rural
U-1310,The Apollo University,Andhra Pradesh,Chittoor,https://apollouniversity.edu.in/,-,Urban
U-0682,THE ASSAM KAZIRANGA UNIVERSITY,Assam,Jorhat,https://www.kzu.ac.in/,2012,Rural
U-0894,"THE ASSAM ROYAL GLOBAL UNIVERSITY, Guwahati, District- Kamrup (Metro)",Assam,Kamrup Metro,www.rgu.ac,2009,Urban
U-1082,THE CHARUTAR VIDYA MANDAL (CVM) UNIVERSITY,Gujarat,Anand,https://cvmu.edu.in,2019,Rural
U-0348,"The Global Open University Nagaland, Dimapur",Nagaland,Dimapur,www.nagaland.net.in,2006,Rural
U-1308,THE GLOBAL UNIVERSITY,Arunachal Pradesh,Papum Pare,www.tgu.ac.in,-,Urban
U-0561,"The ICFAI University, Dehradun",Uttarakhand,Dehradun,www.iudehradun.edu.in,2003,Rural
U-0871,"THE ICFAI UNIVERSITY, JAIPUR",Rajasthan,Jaipur,www.iujaipur.edu.in,2011,Urban
U-0432,The ICFAI University Sikkim,Sikkim,Gangtok,www.iusikkim.edu.in,2004,Urban
U-0494,"The Institute of Chartered Financial Analysts of India University, Agartala",Tripura,West Tripura,www.iutripura.edu.in,2004,Rural
U-0346,"The Institute of Chartered Financial Analysts of India University, Aizawl",Mizoram,Aizawl,www.iumizoram.edu.in,2006,Urban
U-0349,"The Institute of Chartered Financial Analysts of India University, Dimapur",Nagaland,Dimapur,www.iunagaland.edu.in,2007,Rural
U-0211,"The Institute of Chartered Financial Analysts of India University, Jharkhand",Jharkhand,Ranchi,www.iujharkhand.edu.in,2008,Rural
U-0866,THE NEOTIA UNIVERSITY,West Bengal,South 24 Parganas,https://www.tnu.in,2014,Rural
U-0163,"The Northcap University, Gurgaon",Haryana,Gurugram,www.ncuindia.edu,1996,Urban
U-0745,THE UNIVERSITY OF TRANS-DISCIPLINARY HEALTH SCIENCES AND TECHNOLOGY,Karnataka,Bengaluru Urban,,2013,Urban
U-1222,TransStadia University,Gujarat,Ahmedabad,www.tsuniv.edu.in,-,Urban
U-1422,Trident University of Applied Sciences,Sikkim,Gyalshing,,-,Urban
U-1319,T S Mishra University,Uttar Pradesh,Lucknow,www.tsm.edu.in,-,Urban
U-0668,UKA TARSADIA UNIVERSITY,Gujarat,Surat,http://utu.ac.in,2011,Rural
U-1214,UNITED UNIVERSITY,Uttar Pradesh,Prayagraj,WWW.UNITEDUNIVERSITY.EDU.IN,2021,Urban
U-1278,UNIVERSAL Ai UNIVERSITY,Maharashtra,Raigad,https://www.universalai.in/,-,Rural
U-1404,Universal SkillTech University,Maharashtra,Palghar,https://universalskilltechuniversity.edu.in ,-,Urban
U-0756,UNIVERSITY OF ENGINEERING AND MANAGEMENT,Rajasthan,Jaipur,https://jaipur.uem.edu.in/,2012,Rural
U-0823,"UNIVERSITY OF ENGINEERING AND MANAGEMENT, KOLKATA",West Bengal,North 24 Parganas,www.uem.edu.in,2014,Urban
U-0563,"University of Patanjali, Patanjali Yogpeeth, Haridwar",Uttarakhand,Haridwar,www.universityofpatanjali.com,2006,Urban
U-0564,"University of Petroleum and Energy Studies, Dehradun",Uttarakhand,Dehradun,www.upes.ac.in,2003,Rural
U-0639,UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meghalaya,Ri Bhoi,www.ustm.ac.in,2011,Rural
U-0874,University of Technology,Rajasthan,Jaipur,www.uot.edu.in,2017,Rural
U-1157,UPL University of Sustainable Technology,Gujarat,Bharuch,https://upluniversity.ac.in/,2021,Rural
U-0902,Usha Martin University,Jharkhand,Ranchi,https://www.umu.ac.in/,2013,Rural
U-0750,"UTTARANCHAL UNIVERSITY, DEHRADUN",Uttarakhand,Dehradun,https://www.uudoon.in/,2013,Urban
U-1163,VANITA VISHRAM WOMENS UNIVERSITY,Gujarat,Surat,vvwusurat.ac.in,2021,Rural
U-1348,Varun Arjun University,Uttar Pradesh,Shahjahanpur,www.vau.edu.in,-,Rural
U-1428,Vasireddy Venkatadri International Technological University,Andhra Pradesh,Guntur,www.vvitu.com,-,Rural
U-0945,Vellore Institute of Technology - Andhra Pradesh,Andhra Pradesh,Guntur,www.vitap.ac.in,2017,Rural
U-0767,VENKATESHWARA OPEN UNIVERSITY,Arunachal Pradesh,Papum Pare,www.vou.ac.in,2012,Rural
U-1216,VIDHYADEEP UNIVERSITY,Gujarat,Surat,www.vidhyadeepuni.ac.in,-,Rural
U-1197,Vidyashilp University,Karnataka,Bengaluru Rural,www.vidyashilp.edu.in,2021,Rural
U-1385,Vidya University,Uttar Pradesh,Meerut,https://vidya.edu.in/,-,Urban
U-1087,VIJAYBHOOMI UNIVERSITY,Maharashtra,Raigad,https://vijaybhoomi.edu.in,2018,Rural
U-1267,VIKRANT UNIVERSITY,Madhya Pradesh,Gwalior,https://vikrantuniversity.ac.in/,-,Rural
U-0888,VISHWAKARMA UNIVERSITY,Maharashtra,Pune,www.vupune.ac.in,2017,Urban
U-0923,"VIT Bhopal University, Sehore",Madhya Pradesh,Sehore,www.vitbhopal.ac.in,2017,Rural
U-0748,VIVEKANANDA GLOBAL UNIVERSITY,Rajasthan,Jaipur,http://www.vgu.ac.in,2012,Rural
U-1390,Vivek University,Uttar Pradesh,Bijnor,https://vivekuniversity.ac.in/,-,Urban
U-0628,"William Carey University, Shillong",Meghalaya,East Khasi Hills,www.williamcareyuniversity.ac.in,2005,Urban
U-0948,World University of Design,Haryana,Sonipat,www.wud.ac.in,2018,Urban
U-1137,WOXSEN UNIVERSITY,Telangana,Sangareddy,https://woxsen.edu.in/,2014,Rural
U-1450,Xavier university,Bihar,Patna,,-,Urban
U-0715,"XIM UNIVERSITY, BHUBANESWAR",Odisha,Puri,www.xim.edu.in,1987,Urban
U-0930,YBN University,Jharkhand,Ranchi,ybnu.ac.in,2017,Rural
