Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-7253,"Manipal Institute of Regenerative Medicine, Bangalore",Karnataka,Bengaluru Urban,www.manipal.edu,2007,Urban,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7252,"Manipal Institute of Technology, Manipal",Karnataka,Udupi,https://manipal.edu/mit.html,1957,Rural,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-63075,Manipal Institute of Virology,Karnataka,Udupi,www.manipal.edu,2010,Urban,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-46330,Manipal School of Architecture and Planning,Karnataka,Udupi,www.manipal.edu,1978,Rural,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7241,"Manipal School of Information Sciences, Manipal",Karnataka,Udupi,www.manipal.edu,1998,Urban,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-7248,"Manipal School of Life Sciences, Manipal",Karnataka,Udupi,www.manipal.edu/msls,2002,Rural,Constituent / University College,University,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-64128,MANIPAL TATA MEDICAL COLLEGE,Jharkhand,East Singhbum,https://manipal.edu/mtmc-jamshedpur.html,2019,Urban,Constituent / University College,Private Un-Aided,U-0234,"Manipal Academy of Higher Education, Manipal",Deemed University-Private
C-9388,Manipur Institute of Technology,Manipur,Imphal West,www.mitimphal.in,1998,Urban,Constituent / University College,Central Government,U-0337,"Manipur University, Imphal",Central University
C-41194,"Manonmaniam Sundaranar University College, Govindaperi.",Tamil Nadu,Tirunelveli,msuniv.ac.in,2000,Rural,Constituent / University College,University,U-0464,"Manonmaniam Sundaranar University, Tirunelveli",State Public University
C-41196,"Manonmaniam Sundaranar University College, Nagampatti,",Tamil Nadu,Thoothukkudi,www.msuni.ac.in,2003,Rural,Constituent / University College,University,U-0464,"Manonmaniam Sundaranar University, Tirunelveli",State Public University
C-41188,"Manonmaniam Sundaranar University College, Panakudi",Tamil Nadu,Tirunelveli,www.msuniv.ac.in,2010,Rural,Constituent / University College,University,U-0464,"Manonmaniam Sundaranar University, Tirunelveli",State Public University
C-41181,"Manonmaniam Sundaranar University College, Puliankudi",Tamil Nadu,Tirunelveli,www.msuniv.ac.in,2000,Urban,Constituent / University College,State Government,U-0464,"Manonmaniam Sundaranar University, Tirunelveli",State Public University
C-41182,"Manonmaniam Sundaranar University College, Sankarankovil",Tamil Nadu,Tirunelveli,www.msuniv.ac.in,2000,Rural,Constituent / University College,University,U-0464,"Manonmaniam Sundaranar University, Tirunelveli",State Public University
C-41192,"Manonmaniam Sundaranar University College, Thisayanvillai",Tamil Nadu,Tirunelveli,www.msuniv.ac.in,2009,Rural,Constituent / University College,University,U-0464,"Manonmaniam Sundaranar University, Tirunelveli",State Public University
C-46610,"MANUU POLYTECHNIC, HYDERABAD",Telangana,Ranga Reddy,www.manuu.edu.in,2008,Urban,Constituent / University College,University,U-0023,"Maulana Azad National Urdu University, Hyderabad",Central University
C-9614,"M.A.Rameshwar Lata Sanskrit College, Darbhanga",Bihar,Darbhanga,www.marl.sanskritcollege.org,1907,Urban,Constituent / University College,University,U-0067,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga",State Public University
C-44414,"MARKHAM COLLEGE OF COMMERCE, HAZARIBAG",Jharkhand,Hazaribagh,www.markhamcollege.ac.in,1974,Urban,Constituent / University College,State Government,U-0212,"Vinoba Bhave University, Hazaribagh",State Public University
C-66985,MARWADI EDUCATION FOUNDATION DIPLOMA STUDIES,Gujarat,Rajkot,-,-,Urban,Constituent / University College,University,U-0825,Marwadi University,State Private University
C-52926,MARWADI EDUCATION FOUNDATIONS GROUP OF INSTITUTIONS - FACULTY OF ARCHITECTURE,Gujarat,Rajkot,www.marwadieducation.edu.in,2015,Urban,Constituent / University College,University,U-0825,Marwadi University,State Private University
C-49611,MARWADI EDUCATION FOUNDATIONS GROUP OF INSTITUTIONS-FACULTY OF BUSINESS MANAGEMENT,Gujarat,Rajkot,www.marwadieducation.edu.in,2010,Urban,Constituent / University College,University,U-0825,Marwadi University,State Private University
C-49614,"MARWADI EDUCATION FOUNDATIONS GROUP OF INSTITUTIONS-FACULTY OF TECHNOLOGY, RAJKOT",Gujarat,Rajkot,www.marwadieducation.edu.in,2011,Urban,Constituent / University College,University,U-0825,Marwadi University,State Private University
C-49609,MARWADI EDUCATION FOUNDATIONS GROUP OF INSTITUTIONS-SECOND SHIFT-FACULTY OF BUSINESS MANAGEMENT-(SFI)-NEW,Gujarat,Rajkot,www.marwadieducation.edu.in,2012,Urban,Constituent / University College,University,U-0825,Marwadi University,State Private University
C-15064,Marwari College,Jharkhand,Ranchi,https://marwaricollegeranchi.ac.in/,1963,Urban,Constituent / University College,State Government,U-0209,"Ranchi University, Ranchi",State Public University
C-8754,Marwari College,Bihar,Darbhanga,www.marwaricollege.ac.in,1958,Urban,Constituent / University College,University,U-0068,"Lalit Narayan Mithila University, Darbhanga",State Public University
C-17620,"Marwari College, Bhagalpur",Bihar,Bhagalpur,www.marwaricollegebgp.ac.in,1941,Urban,Constituent / University College,State Government,U-0076,"T.M. Bhagalpur University, Bhagalpur",State Public University
C-29605,"Marwari College, Kishanganj",Bihar,Kishanganj,www.marwaicollegeksn.co.in,1960,Urban,Constituent / University College,State Government,U-0999,"PURNEA UNIVERSITY, PURNIA",State Public University
C-49546,MATA SUNDARI UNIVERSITY GIRLS COLLEGE MANSA,Punjab,Mansa,http://www.punjabiuniversity.ac.in/Pages/Department.aspx?dsenc=133,2013,Urban,Constituent / University College,University,U-0383,"Punjabi University, Patiala",State Public University
C-6424,Mata Sundri College for Women,Delhi,Central,www.ms.du.ac.in,1967,Urban,Constituent / University College,University,U-0120,University of Delhi,Central University
C-22965, Maulana Azad Memorial College,Jammu and Kashmir,Jammu,www.mamcollegejammu.in,1954,Urban,Constituent / University College,State Government,U-0926,Cluster University of Jammu,State Public University
C-1170,"MB Patel College of Education, Vallabh Vidyanagar",Gujarat,Anand,www.spuvvn.edu,1960,Urban,Constituent / University College,University,U-0148,"Sardar Patel University, Vallabh Vidyanagar",State Public University
