Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
188,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,Group 1,OBC-NCL,330,330
189,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,Group 1,OPEN,362,362
190,National Spot Round,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Communication Engineering & Signal Processing,Group 1,OPEN,358,350
191,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Construction Technology and Management,Group 1,OBC-NCL,423,412
192,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Construction Technology and Management,Group 1,OPEN,480,480
193,National Spot Round,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,Group 1,EWS,348,348
194,National Spot Round,"National Institute of Technology, Rourkela",Construction Technology and Management,Group 1,OBC-NCL,378,378
195,National Spot Round,"National Institute of Technology, Warangal",Construction Technology and Management,Group 1,OPEN,476,476
196,National Spot Round,National Institute of Technology Patna,Control System Engineering,Group 1,SC,252,252
197,National Spot Round,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,Group 1,OBC-NCL,560,548
198,National Spot Round,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,Group 1,EWS,585,552
199,National Spot Round,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,Group 1,OPEN,592,588
200,National Spot Round,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,Group 1,SC,420,420
201,National Spot Round,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,OBC-NCL,655,648
202,National Spot Round,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,EWS,689,688
203,National Spot Round,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,OPEN,698,693
204,National Spot Round,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,SC,502,476
205,National Spot Round,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,ST,338,338
206,National Spot Round,"Punjab Engineering College, Chandigarh",Computer Science & Information Security,Group 1,OPEN,410,410
207,National Spot Round,"National Institute of Technology, Jamshedpur",Communication Systems Engineering,Group 1,OPEN,350,350
208,National Spot Round,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,OBC-NCL,473,412
209,National Spot Round,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,EWS,456,381
210,National Spot Round,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,OPEN,498,483
211,National Spot Round,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,SC,305,298
212,National Spot Round,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,ST,251,251
213,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,OBC-NCL,471,449
214,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,EWS,479,479
215,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,OPEN,504,489
216,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,SC,327,327
217,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,ST,256,256
218,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Communication Systems,Group 1,OPEN,358,358
219,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Communication Systems,Group 1,SC,280,280
220,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Communication Systems,Group 1,OBC-NCL,389,370
221,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Communication Systems,Group 1,EWS,366,345
222,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Communication Systems,Group 1,OPEN,428,389
