Sr.No, Round  , Institute                                                                      , Program                                                                                                                                      , Stream                                                 , Seat Type      , Quota     , Category          , Opening Rank, Closing Rank
   59, Round 1, "Calcutta Institute of Technology, Uluberia, Howrah"                           , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        38055,        94817
   60, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         9373,        63664
   61, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        92141,        92141
   62, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       169563,       764435
   63, Round 1, "Ramkrishna Mahato Government Engineering College, Purulia"                    , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        18786,        30551
   64, Round 1, "Ramkrishna Mahato Government Engineering College, Purulia"                    , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,        18753,        19568
   65, Round 1, "Ramkrishna Mahato Government Engineering College, Purulia"                    , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        18247,        29025
   66, Round 1, "Ramkrishna Mahato Government Engineering College, Purulia"                    , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        68086,        94014
   67, Round 1, "Ramkrishna Mahato Government Engineering College, Purulia"                    , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        21531,        25844
   68, Round 1, "Ramkrishna Mahato Government Engineering College, Purulia"                    , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Open              ,         6743,        18025
   69, Round 1, "Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad"            , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        59697,        59697
   70, Round 1, "Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad"            , Civil Engineering                                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       639277,       639277
   71, Round 1, "Institute of Pharmacy, Jalpaiguri"                                            , B.Pharm/Pharmaceutical Technology                                                                                                            , B. Pharma                                              , WBJEE Seats    , Home State, Open              ,         1058,         4132
   72, Round 1, GANDHARI COLLEGE (SCHOOL OF PHARMACY)                                          , B.Pharm/Pharmaceutical Technology                                                                                                            , B. Pharma                                              , WBJEE Seats    , All India , Open              ,        19483,       100048
   73, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,        32354,       476296
   74, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        25131,        72406
   75, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        83499,        83499
   76, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        21396,        28839
   77, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        51260,        53748
   78, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        22691,        40033
   79, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,        59332,       183564
   80, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        22862,        31788
   81, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         5365,        19940
   82, Round 1, "Ghani Khan Choudhury Institute of Engineering & Technology, Malda"            , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,        24075,        24150
   83, Round 1, "Techno Main Salt Lake, Sector-V, Salt Lake"                                   , Food Technology                                                                                                                              , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       268224,       420411
   84, Round 1, "UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY"                       , Applied Electronics And Instrumentation Engineering (TFW)                                                                                    , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        17255,        19166
   85, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Applied Electronics And Instrumentation Engineering (TFW)                                                                                    , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, Tuition Fee Waiver,        14075,        16284
   86, Round 1, SKM INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH                          , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,      1290212,      1290212
   87, Round 1, "BHARAT TECHNOLOGY, ULUBERIA, HOWRAH"                                          , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       516252,      1216913
   88, Round 1, "GUPTA COLLEGE OF TECHNOLOGICAL SCIENCES, ASANSOL, BURDWAN"                    , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       401312,      1007597
   89, Round 1, PANDAVESWAR SCHOOL OF PHARMACY                                                 , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       203480,      1232800
   90, Round 1, IQ CITY INSTITUTE OF PHARMACEUTICAL SCIENCES                                   , B.Pharm/Pharmaceutical Technology                                                                                                            , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       598134,      1392467
   91, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,         6321,        12653
   92, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, ST                ,        50171,        50171
   93, Round 1, "Heritage Institute of Technology, Kolkata"                                    , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,        26667,        68380
   94, Round 1, "Narula Institute of Technology, Agarpara, Kolkata"                            , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,         1709,       307165
   95, Round 1, "Narula Institute of Technology, Agarpara, Kolkata"                            , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,          234,        36952
   96, Round 1, "Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan"             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        20210,        97362
   97, Round 1, "Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan"             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       211299,       771669
   98, Round 1, "Rcc Institute of Information Technology, Kolkata"                             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, SC                ,        42688,        84156
   99, Round 1, "Rcc Institute of Information Technology, Kolkata"                             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,         7531,        40088
  100, Round 1, "Rcc Institute of Information Technology, Kolkata"                             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - A           ,        76070,        85105
  101, Round 1, "Rcc Institute of Information Technology, Kolkata"                             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        40975,        42331
  102, Round 1, "Rcc Institute of Information Technology, Kolkata"                             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       151294,       320513
  103, Round 1, "Rcc Institute of Information Technology, Kolkata"                             , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, OBC - B           ,        50686,        75334
  104, Round 1, Swami Vivekananda University                                                   , Computer Science & Engineering (Artificial Intelligence And Machine Learning)                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), JEE(Main) Seats, All India , Open              ,       513254,      1218024
  105, Round 1, "Calcutta Institute of Technology, Uluberia, Howrah"                           , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , All India , Open              ,        28394,        75696
  106, Round 1, "Haldia Institute of Technology, Haldia, Purba Medinipur"                      , Electronics & Communication Engineering                                                                                                      , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,        27792,        76667
  107, Round 1, Jadavpur University                                                            , Instrumentation & Electronics                                                                                                                , B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats), WBJEE Seats    , Home State, EWS               ,         1198,         1361
