Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1477,Special Round 2,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,SC,295,291
1478,Special Round 2,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science & Engineering,Group 1,OBC-NCL,368,364
1479,Special Round 2,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,OBC-NCL,433,427
1480,Special Round 2,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,EWS,499,499
1481,Special Round 2,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,OPEN,535,522
1482,Special Round 2,Motilal Nehru National Institute of Technology Allahabad,Control & Instrumentation,Group 1,SC,252,252
1483,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,Group 1,OBC-NCL,360,340
1484,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,Group 1,OPEN,385,377
1485,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,Group 1,SC,268,268
1486,Special Round 2,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Communication Engineering & Signal Processing,Group 1,OPEN,381,377
1487,Special Round 2,"National Institute of Technology Karnataka, Surathkal",Construction Technology and Management,Group 1,OBC-NCL,445,431
1488,Special Round 2,"Sardar Vallabhbhai National Institute of Technology, Surat",Construction Technology and Management,Group 1,OPEN,363,363
1489,Special Round 2,"Sardar Vallabhbhai National Institute of Technology, Surat",Construction Technology and Management,Group 1,SC,284,264
1490,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,Group 1,OBC-NCL,363,355
1491,Special Round 2,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,Group 1,OPEN,400,400
1492,Special Round 2,"National Institute of Technology, Warangal",Construction Technology and Management,Group 1,OBC-NCL,393,393
1493,Special Round 2,"National Institute of Technology, Warangal",Construction Technology and Management,Group 1,OPEN,480,480
1494,Special Round 2,"Sardar Vallabhbhai National Institute of Technology, Surat",Construction Technology and Management,Group 1,OBC-NCL,340,328
