Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
796,Round 1,"Indian Institute of Information Technology, Allahabad",M.Tech. IT with specialization in Network and Security Group,Group 1,EWS,631,610
797,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems,Group 1,ST,286,264
798,Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Nanoelectronics and VLSI Design,Group 1,OBC-NCL,429,400
799,Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Power & Control,Group 1,SC,291,280
800,Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Data Science,Group 1,OPEN,548,539
801,Round 1,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,EWS,539,535
802,Round 1,Indian Institute of Information Technology Tiruchirappalli,Computer Science & Engineering,Group 1,OPEN,764,589
803,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",M.Tech. Robotics and Automation,Group 1,EWS,364,364
804,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",VLSI & Embedded Systems,Group 1,OPEN,436,395
805,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science and Engineering (Cyber Security),Group 1,EWS,427,427
806,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Artificial Intelligence & Data Science,Group 1,OBC-NCL,468,445
807,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Communication System,Group 1,EWS,416,416
808,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Structural Engineering,Group 1,OBC-NCL,425,416
809,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,Group 1,OBC-NCL,401,389
810,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Water Resource Engineering,Group 1,OBC-NCL,328,318
811,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,Group 1,SC,283,273
812,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Chemical Engineering,Group 1,OBC-NCL,363,324
813,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,Group 1,OBC-NCL,432,410
814,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,Group 1,ST,314,314
815,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,Group 1,SC,232,232
816,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",VLSI Design,Group 1,ST,315,305
817,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Water Resource Engineering,Group 1,SC,302,283
818,Round 1,National Institute of Technology Andhra Pradesh,Chemical Engineering,Group 1,OPEN,415,350
819,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Thermal Science and Energy Technology,Group 1,SC,217,195
820,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Biomedical Engineering,Group 1,OBC-NCL,392,377
821,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control & Industrial Automation,Group 1,OPEN,448,375
822,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Aerospace Engineering,Group 1,SC,315,275
823,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,SC,414,380
824,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Transportation Engineering,Group 1,SC,306,284
825,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Urban & Regional Planning,Group 1,OPEN,608,508
826,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,OBC-NCL,579,514
827,Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IC Design and Technology,Group 1,ST,299,299
828,Round 1,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech.- PhD in Bioinformatics,Group 1,SC,297,297
829,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Mechanical Engineering with Specialization in Intelligent Mechanical Systems Design,Group 1,OPEN,442,442
830,Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Power & Control,Group 1,OBC-NCL,366,338
831,Round 1,"Indian Institute of Information Technology , Kalyani",VLSI & Embedded Systems,Group 1,EWS,323,320
832,Round 1,"National Institute of Technology, Jamshedpur",Power Electronics & Drives,Group 1,ST,291,267
833,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Computer Science & Engineering,Group 1,SC,454,346
834,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Artificial Intelligence & Data Science,Group 1,SC,431,341
835,Round 1,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,SC,485,443
836,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",Electric Vehicle Technology,Group 1,EWS,324,324
837,Round 1,"Indian Institute of Information Technology, Kota",Electronics and Communication Engineering with specialization in Semiconductor Technology,Group 1,OBC-NCL,350,330
838,Round 1,"Indian Institute of Information Technology, Vadodara, Gandhinagar Campus",Data Science,Group 1,OBC-NCL,487,460
839,Round 1,"Indian Institute of Information Technology, Vadodara, Diu Campus",Artificial Intelligence,Group 1,OBC-NCL,453,448
840,Round 1,Indian Institute of Information Technology (IIIT) Surat,Electronics and Communication Engineering (VLSI),Group 2,OBC-NCL,370,370
841,Round 1,Indian Institute of Information Technology (IIIT) Surat,Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 2,OBC-NCL,469,469
842,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Artificial Intelligence,Group 2,EWS,420,408
843,Round 1,Sant Longowal Institute of Engineering and Technology,Computer Science & Engineering,Group 1,SC,324,311
844,Round 1,"International Institute of Information Technology, Naya Raipur",Electronics and Communication Engineering,Group 1,EWS,362,362
845,Round 1,"Punjab Engineering College, Chandigarh",Computer Science & Information Security,Group 1,ST,250,250
846,Round 1,"Punjab Engineering College, Chandigarh",Electronics (VLSI Design),Group 1,OPEN,592,414
847,Round 1,"Punjab Engineering College, Chandigarh",Computer Science & Engineering,Group 1,ST,255,255
848,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Laser and Electro Optics,Group 1,EWS,414,414
849,Round 1,"Jawaharlal Nehru University, New Delhi",Computer Science & Engineering,Group 1,EWS,588,526
850,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Water Resource Engineering,Group 1,ST,264,264
851,Round 1,National Institute of Technology Andhra Pradesh,Power Electronics and Drives,Group 1,OPEN,397,385
852,Round 1,National Institute of Technology Andhra Pradesh,Computer Science and Data Analytics,Group 1,EWS,539,539
853,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mining and Mineral Engineering,Group 1,SC,298,259
854,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Sustainable Energy Technology and Development,Group 1,SC,276,262
855,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Power Electronics, Machines and Drives",Group 1,OBC-NCL,362,354
856,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Power Electronics, Machines and Drives",Group 1,OPEN,551,380
857,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Structural Engineering,Group 1,OBC-NCL,347,325
858,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Transportation Engineering,Group 1,ST,247,247
859,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Computer Science & Engineering,Group 1,SC,519,431
860,Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,Group 1,EWS,581,581
861,Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Autonomous Systems and Machine Intelligence,Group 1,SC,346,343
862,Round 1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Information and Cyber Security,Group 1,ST,323,323
863,Round 1,"Indian Institute of Information Technology, Allahabad",M.Tech (Bioinformatics),Group 1,OBC-NCL,473,402
864,Round 1,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech. –PhD in ECE with specialization in Microelectronics,Group 1,OPEN,592,592
865,Round 1,"Indian Institute of Information Technology, Allahabad",Dual Degree M.Tech. - PhD in ECE with Specialization in Communication Engineering,Group 1,OPEN,439,439
866,Round 1,"Indian Institute of Information Technology, Allahabad",M.Tech. Biomedical Engineering,Group 1,SC,301,265
867,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 1,EWS,512,512
868,Round 1,"Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai",Electronics and Communication Engineering with Specialization in Microelectronics and VLSI Systems,Group 1,OPEN,565,463
869,Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,OBC-NCL,535,486
870,Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Design,Group 1,SC,239,239
871,Round 1,Indian Institute of Information Technology Tiruchirappalli,VLSI Systems,Group 1,ST,295,288
872,Round 1,"Indian Institute of Information Technology, Pune",Electronics and Communication Engineering,Group 1,SC,307,295
873,Round 1,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,ST,330,330
874,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",Electric Vehicle Technology,Group 1,OPEN,395,362
875,Round 1,"Indian Institute of Information Technology, Kota",Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science,Group 1,OBC-NCL,502,456
876,Round 1,"Indian Institute of Information Technology, Vadodara, Gandhinagar Campus",Data Science,Group 1,SC,467,373
877,Round 1,"Indian Institute of Information Technology, Vadodara, Diu Campus",Artificial Intelligence,Group 1,ST,258,258
878,Round 1,Indian Institute of Information Technology (IIIT) Surat,Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence,Group 1,EWS,509,506
879,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Embedded System and VLSI Design,Group 1,OPEN,745,377
880,Round 1,Sant Longowal Institute of Engineering and Technology,Computer Science & Engineering,Group 1,EWS,360,350
881,Round 1,"International Institute of Information Technology, Naya Raipur",Computer Science & Engineering,Group 1,OBC-NCL,506,506
882,Round 1,"Punjab Engineering College, Chandigarh",Quantum Materials & Technology,Group 1,OPEN,473,356
883,Round 1,"Punjab Engineering College, Chandigarh",Structural Engineering,Group 1,SC,294,250
884,Round 1,"Punjab Engineering College, Chandigarh",Transportation Engineering,Group 1,OPEN,454,363
885,Round 1,"Punjab Engineering College, Chandigarh",Computer Science & Engineering,Group 1,EWS,499,499
886,Round 1,"Central Institute of Technology, Kokrajhar",Food Engineering & Technology,Group 1,EWS,341,341
887,Round 1,Central University of Rajasthan,Computer Science & Engineering,Group 1,SC,356,327
888,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Laser and Electro Optics,Group 1,ST,292,292
889,Round 1,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Artificial Intelligence & Data Science,Group 1,ST,256,256
890,Round 1,"Indian Institute of Information Technology, Pune",Computer Science & Engineering,Group 1,OBC-NCL,561,552
891,Round 1,"Indian Institute of Information Technology, Una",Computer Science & Engineering with Specialization in Data Science/Cyber Security,Group 1,OPEN,589,498
892,Round 1,"Indian Institute of Information Technology, Vadodara, Gandhinagar Campus",Data Science,Group 1,ST,283,283
893,Round 1,"Indian Institute of Information Technology, Vadodara, Diu Campus",Artificial Intelligence,Group 1,SC,370,354
